"","ascending process of the parasphenoid","basibranchial 4 tooth","basihyal tooth","caudal-fin hook","entopterygoid vertical strut","mandibular symphyseal tooth","pharyngobranchial 2 tooth","pharyngobranchial 3 tooth","premaxilla ascending process","upper pharyngeal 4 tooth","upper pharyngeal 5 tooth","upper pharyngeal tooth","urohyal lateral process"
"ascending process of the parasphenoid",1,0.390862944162437,0.388888888888889,0.314516129032258,0.389705882352941,0.395555555555556,0.386934673366834,0.386934673366834,0.402985074626866,0.388888888888889,0.379487179487179,0.386934673366834,0.365217391304348
"basibranchial 4 tooth",0.390862944162437,1,0.958333333333333,0.192307692307692,0.191176470588235,0.760765550239234,0.964285714285714,0.964285714285714,0.186274509803922,0.970059880239521,0.94578313253012,0.964285714285714,0.226744186046512
"basihyal tooth",0.388888888888889,0.958333333333333,1,0.191256830601093,0.190243902439024,0.757142857142857,0.947058823529412,0.947058823529412,0.185365853658537,0.952662721893491,0.940119760479042,0.947058823529412,0.239766081871345
"caudal-fin hook",0.314516129032258,0.192307692307692,0.191256830601093,1,0.419354838709677,0.16289592760181,0.190217391304348,0.190217391304348,0.423913043478261,0.191256830601093,0.19774011299435,0.190217391304348,0.612903225806452
"entopterygoid vertical strut",0.389705882352941,0.191176470588235,0.190243902439024,0.419354838709677,1,0.316279069767442,0.189320388349515,0.189320388349515,0.914634146341463,0.190243902439024,0.172413793103448,0.189320388349515,0.518072289156627
"mandibular symphyseal tooth",0.395555555555556,0.760765550239234,0.757142857142857,0.16289592760181,0.316279069767442,1,0.753554502369668,0.753554502369668,0.317757009345794,0.757142857142857,0.753623188405797,0.753554502369668,0.183962264150943
"pharyngobranchial 2 tooth",0.386934673366834,0.964285714285714,0.947058823529412,0.190217391304348,0.189320388349515,0.753554502369668,1,0.964497041420118,0.184466019417476,0.958579881656805,0.93452380952381,0.952941176470588,0.224137931034483
"pharyngobranchial 3 tooth",0.386934673366834,0.964285714285714,0.947058823529412,0.190217391304348,0.189320388349515,0.753554502369668,0.964497041420118,1,0.184466019417476,0.958579881656805,0.93452380952381,0.952941176470588,0.224137931034483
"premaxilla ascending process",0.402985074626866,0.186274509803922,0.185365853658537,0.423913043478261,0.914634146341463,0.317757009345794,0.184466019417476,0.184466019417476,1,0.185365853658537,0.173267326732673,0.184466019417476,0.506024096385542
"upper pharyngeal 4 tooth",0.388888888888889,0.970059880239521,0.952662721893491,0.191256830601093,0.190243902439024,0.757142857142857,0.958579881656805,0.958579881656805,0.185365853658537,1,0.940119760479042,0.970238095238095,0.225433526011561
"upper pharyngeal 5 tooth",0.379487179487179,0.94578313253012,0.940119760479042,0.19774011299435,0.172413793103448,0.753623188405797,0.93452380952381,0.93452380952381,0.173267326732673,0.940119760479042,1,0.93452380952381,0.204678362573099
"upper pharyngeal tooth",0.386934673366834,0.964285714285714,0.947058823529412,0.190217391304348,0.189320388349515,0.753554502369668,0.952941176470588,0.952941176470588,0.184466019417476,0.970238095238095,0.93452380952381,1,0.224137931034483
"urohyal lateral process",0.365217391304348,0.226744186046512,0.239766081871345,0.612903225806452,0.518072289156627,0.183962264150943,0.224137931034483,0.224137931034483,0.506024096385542,0.225433526011561,0.204678362573099,0.224137931034483,1
